,,,,,,,,,,,,,,
Area,mnemonic,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,
country:England and Wales,K04000001,25373,25998,26076,26290,26633,27169,27321,27680,28325,28939,29667,30526,31588
ladu:Darlington,E06000005,22556,22630,22259,23363,24149,#,25502,26570,27009,25712,26043,27888,27963
ladu:County Durham,E06000047,20098,20683,21500,21569,22038,23469,23707,24062,24188,25105,25810,26378,26495
ladu:Hartlepool,E06000001,21047,21298,23762,23430,24741,27220,25143,26445,26112,25638,25729,26010,27992
ladu:Middlesbrough,E06000002,21301,22593,21628,21932,24669,24133,23971,24751,25722,25626,25170,26203,27005
ladu:Northumberland,E06000057,20790,22143,23032,21625,23358,22684,22328,23831,25177,24927,25052,25773,27292
ladu:Redcar and Cleveland,E06000003,25340,25415,24156,25412,23684,#,26323,26792,24496,25456,26170,25846,25945
ladu:Stockton-on-Tees,E06000004,22859,24156,23563,23829,23408,24141,25096,25345,26884,25258,26540,29049,30537
ladu:Gateshead,E08000037,20931,21581,22997,24675,25888,25491,25627,25653,25054,24761,25566,26152,25895
ladu:Newcastle upon Tyne,E08000021,22561,24851,24924,25186,25111,25333,25928,27034,26839,28501,27813,28911,29886
ladu:North Tyneside,E08000022,21978,23463,24960,24420,24432,25023,24936,25583,25309,26174,27701,28850,27326
ladu:South Tyneside,E08000023,#,21795,19668,#,22504,23615,24540,24575,22405,23226,23620,24458,27049
ladu:Sunderland,E08000024,22503,22561,23305,22960,23323,24227,25041,25284,25985,26156,26094,27134,28486
ladu:Blackburn with Darwen,E06000008,#,22920,23113,22864,23723,24610,24531,23936,25004,25283,24212,25566,24761
ladu:Blackpool,E06000009,#,#,18663,19647,20547,19998,20577,21462,20777,24107,24285,25593,24784
ladu:Cheshire East,E06000049,24821,24141,23643,25000,25098,25377,25761,25955,27164,28114,28880,29607,30257
ladu:Cheshire West and Chester,E06000050,24662,25610,25197,24003,25321,24135,24554,25481,26029,27482,28326,28986,28707
ladu:Halton,E06000006,25302,24828,26688,24027,25165,25279,26798,27460,27447,28762,29203,30000,30992
ladu:Warrington,E06000007,26907,26951,26488,26927,27516,26183,27300,27389,27204,27565,28526,28145,31094
ladu:Allerdale,E07000026,21132,22280,22901,20116,20964,23012,23447,22513,23711,24108,24558,24661,26779
ladu:Barrow-in-Furness,E07000027,26527,25466,26503,26595,28851,31281,31023,28310,30139,32083,34733,35616,36340
ladu:Carlisle,E07000028,22606,22058,22950,22564,22571,24116,23592,23450,24961,24977,25380,27130,29262
ladu:Copeland,E07000029,36527,37676,36284,40118,43360,43659,44015,45647,43486,47217,48898,44986,49541
ladu:Eden,E07000030,22120,19446,19949,21190,22931,26692,#,23758,23710,24041,23903,27973,27221
ladu:South Lakeland,E07000031,21862,21145,22369,20909,20833,22032,22297,23078,23948,23169,27034,#,24762
ladu:Bolton,E08000001,21091,21402,21736,22457,21693,22801,22083,23301,24643,24140,24787,25662,25412
ladu:Bury,E08000002,24002,24418,24014,23701,23752,23676,24442,25015,25404,23964,26383,25412,26752
ladu:Manchester,E08000003,26332,26563,26542,26261,27113,27894,28283,27418,28547,29947,29997,30801,31623
ladu:Oldham,E08000004,20001,20841,22132,22033,20933,20798,21937,22694,22992,22708,25422,25168,27396
ladu:Rochdale,E08000005,20379,21108,20736,21581,21847,22629,21580,22222,22880,22655,23528,25100,25993
ladu:Salford,E08000006,22906,23589,23710,25431,26180,26801,26564,27148,26815,28028,27932,28947,32366
ladu:Stockport,E08000007,24599,26261,25038,26709,27222,27854,25630,26198,27036,27150,27525,29062,29132
ladu:Tameside,E08000008,21504,22403,20978,21142,23058,21458,21438,21735,22924,24316,23058,23569,24148
ladu:Trafford,E08000009,26229,27091,26092,26990,27568,25940,26376,26474,26870,27632,27780,28742,29845
ladu:Wigan,E08000010,22869,22479,23396,22118,21536,23321,22225,23655,24187,24209,25122,25010,26189
ladu:Burnley,E07000117,21817,20063,19921,20867,21997,22339,#,21063,22728,22538,22512,23648,24480
ladu:Chorley,E07000118,23084,23974,24030,23067,24147,23285,24222,24286,#,24904,24970,24874,27786
ladu:Fylde,E07000119,30343,31429,29602,29887,23177,24072,30823,33806,32704,34083,35719,36302,35166
ladu:Hyndburn,E07000120,20599,#,21604,20985,19977,22190,22338,22236,24177,24284,23657,27027,30040
ladu:Lancaster,E07000121,23159,23692,24061,25165,24454,25926,25089,26156,29548,27880,26977,27325,29218
ladu:Pendle,E07000122,21632,19916,20259,22360,22316,22588,23599,24004,24633,25356,#,24942,23458
ladu:Preston,E07000123,23267,24684,26130,22476,23067,23815,23452,24626,26480,25900,27619,27324,26938
ladu:Ribble Valley,E07000124,23804,22557,22628,26661,24900,24718,28121,30144,27392,31813,30230,32588,38326
ladu:Rossendale,E07000125,17275,19505,18507,#,21746,#,19870,21617,19614,20224,22209,23972,26156
ladu:South Ribble,E07000126,24722,21047,21979,#,23081,23495,22930,23918,24670,25332,24776,28574,30782
